system:index,Mean_NDVI,Month,.geo
0,0.4378535293375308,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4494356765601628,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4559518058261032,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.4380050914439083,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.47739386501379155,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.49484231311642757,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.6589783434779047,7.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.6996408590071734,8.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.6435140892556405,9.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6079758051842227,10.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5192841408318409,11.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.4606071198883576,12.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
